"Phone number should starts with '09'","Phone number should starts with '09'"
"I have agreed to the privacy policy","I have agreed to the privacy policy"
"Amorepacific Co., Ltd. (hereinafter referred to as 'Our company') takes your privacy very seriously, in order to let you can use Amorepacific activities with peace of mind","Amorepacific Co., Ltd. (hereinafter referred to as 'Our company') takes your privacy very seriously, in order to let you can use Amorepacific activities with peace of mind"
"If you have not received the email or text message, please click 'Send' again after 60 seconds","If you have not received the email or text message, please click 'Send' again after 60 seconds"
"Congratulations on your successful application for the trial package redemption qualification! Please use this message to redeem at the counter! Provided to the counter staff","恭喜您成功申請試用包兌換資格!請憑此訊息至專櫃進行兌換!提供給櫃檯人員"
"Please click to complete the redemption by the counter staff, thank you!", "請由專櫃人員點擊完成兌換，謝謝！"
"Dear","Dear"
"[Sulwhasoo] Trial package redemption application confirmation notice","[Sulwhasoo] Trial package redemption application confirmation notice"
"Congratulations on your successful application for the trial package redemption qualification.","Congratulations on your successful application for the trial package redemption qualification."
"Please use this message to the %counter counter and the counter staff will click to complete the redemption, thank you!","Please use this message to the %counter counter and the counter staff will click to complete the redemption, thank you!"
"Redemption confirmation link:","Redemption confirmation link:"
"Brand activity","Brand activity"
"Please choose a counter","Please choose a counter"
"SMS Content","SMS Content"
"Dear %name Hello!","Dear %name Hello!"
"LANEIGE informs you: ","LANEIGE informs you: "
"SULWHASOO informs you: ","SULWHASOO informs you: "
"From now until 5/11 to Shinkong Mitsukoshi Xinyi Xintiandi A11 %counter experience 'Lanzhi Star Products', you can redeem a 'Star Product Experience Group'! Each person is limited to one time. (The quantity is limited until the end of redemption).","From now until 5/11 to Shinkong Mitsukoshi Xinyi Xintiandi A11 %counter experience 'Lanzhi Star Products', you can redeem a 'Star Product Experience Group'! Each person is limited to one time. (The quantity is limited until the end of redemption)."
"Redemption page: %confirm","Redemption page: %confirm"
"【Laneige】Confirmation notice of trial package redemption application","【Laneige】Confirmation notice of trial package redemption application"
